Name,Address,City,Country,Beds,Trauma,Phone
Hosp Metropolitano De San German,Calle Javilla Al Costado Parque De Bombas,San German,PRI,40,General Medical,(787) 892-5300
Hosp Hermanos Melendez,Route 2  Km 11-7,Bayamon,PRI,211,General Medical,(787) 620-8181
Ssm Health St. Mary'S Hospital Audrain,620 East Monroe Street,Mexico,USA,88,General Medical,(573) 582-8100
Moberly Regional Medical Center,1515 Union Street,Moberly,USA,100,General Medical,(660) 263-8400
Southeasthealth Center Of Stoddard County,1200 North One Mile Road,Dexter,USA,48,General Medical,(573) 624-5566
"Rusk Rehab Center, A Jv Of Healthsouth & Univ.",315 Business Loop 70 West,Columbia,USA,60,General Medical,(573) 817-2703
Central New York Psychiatric Center,9005 Old River Rd,Marcy,USA,1001,General Medical,(315) 765-3600
Black River Community Medical Center,217 Physicians Park Drive,Poplar Bluff,USA,8,General Medical,(573) 727-9080
Perry County Memorial Hospital,434 North West Street,Perryville,USA,25,General Medical,(573) 547-2530
Golden Valley Memorial Hospital,1600 North Second Street,Clinton,USA,56,General Medical,(660) 890-7103
Hutchings Psychiatric Center,620 Madison Street,Syracuse,USA,1001,General Medical,(315) 426-3600
"Transylvania Community Hospital, Inc. And Bridgeway",P O Box 1116,Brevard,USA,94,General Medical,(828) 884-9111
Swain Community Hospital,45 Plateau St,Bryson City,USA,48,General Medical,(828) 488-2155
Northern Hospital Of Surry County,830 Rockford Street,Mount Airy,USA,133,General Medical,(336) 719-7100
"Hugh Chatham Memorial Hospital, Inc.",180 Parkwood Drive,Elkin,USA,93,General Medical,(336) 527-7000
Anson Community Hospital,500 Morven Rd,Wadesboro,USA,147,General Medical,(704) 694-5131
"Ashe Memorial Hospital, Inc.",200 Hospital Ave.,Jefferson,USA,76,General Medical,(336) 846-7101
Vidant Medical Center,2100 Stantonsburg Road,Greenville,USA,909,Cancer Specialists,(252) 847-4451
Frye Regional Medical Center,420 North Center St,Hickory,USA,355,General Medical,(828) 315-5000
Annie Penn Hospital,618 South Main St.,Reidsville,USA,110,General Medical,(336) 951-4000
Scotland Memorial Hospital And Edwin Morgan Center,500 Lauchwood Drive,Laurinburg,USA,104,General Medical,(910) 291-7000
Pungo District Hospital Corporation,202 East Water St,Belhaven,USA,49,General Medical,(252) 943-2111
Carolinas Healthcare System Northeast,920 Church St N,Concord,USA,457,Lung Cancer,(704) 783-3000
Memorial Mission Hospital And Asheville Surgery Center,509 Biltmore Ave,Asheville,USA,763,Covid,(828) 213-1111
"Blue Ridge Regional Hospital, Inc",125 Hospital Drive,Spruce Pine,USA,46,General Medical,(828) 765-4201
Firsthealth Moore Reg. Hosp. And Pinehurst Treatment,155 Memorial Drive,Pinehurst,USA,372,General Medical,(910) 215-1000
The Outer Banks Hospital,4800 South Croatan Highway,Nags Head,USA,21,General Medical,(252) 449-4500
Columbus Regional Healthcare System,500 Jefferson St,Whiteville,USA,154,General Medical,(910) 642-8011
Naval Hospital Camp Lejeune,100 Brewster Blvd,Camp Lejeune,USA,1001,General Medical,(910) 450-4300
Womack Army Medical Center,2817 Reilly Rd,Fort Bragg,USA,1001,General Medical,(910) 907-6000
Charles George Va Medical Center,1100 Tunnel Rd,Asheville,USA,1001,General Medical,(828) 298-7911
Kindred Hospital - Las Vegas (Sahara Campus),5110 West Sahara Avenue,Las Vegas,USA,238,General Medical,(702) 784-4300
Kindred Hospital At St Rose De Lima Campus,"102 E Lake Mead Parkway,Third Floor",Henderson,USA,1001,General Medical,(702) 856-0633
St Joseph'S Hospital,3001 W Dr. Martin Luther King Jr Blvd,Tampa,USA,780,Covid,(813) 870-4000
Palm Beach Gardens Medical Center,3360 Burns Rd,Palm Beach Gardens,USA,199,General Medical,(561) 622-1411
Select Specialty Hospital - Palm Beach,3060 Melaleuca Lane,Lake Worth,USA,60,General Medical,(561) 357-7370
Bellin Memorial Hsptl,744 S Webster Ave,Green Bay,USA,244,General Medical,(920) 433-3500
Danbury Hospital,24 Hospital Ave,Danbury,USA,371,Children Specialists,(203) 797-7000
Hutchinson Regional Medical Center Inc,1701 E 23rd Avenue,Hutchinson,USA,213,Lung Cancer,(620) 665-2001
Ottawa County Health Center,215 E 8th Street,Minneapolis,USA,42,General Medical,(785) 392-2122
Mt Sinai Hospital Medical Center,15th Street At California,Chicago,USA,290,Cancer Specialists,(773) 257-6434
Presence St Marys Hospital,500 W Court St,Kankakee,USA,143,Covid,(815) 937-2490
All Children'S Hospital,501 6th Ave S,Saint Petersburg,USA,259,Level Ii Pediatric,(727) 898-7451
Broward Health North,201 E Sample Rd,Pompano Beach,USA,409,Covid,(954) 941-8300
Jackson Memorial Hospital,1611 Nw 12th Ave,Miami,USA,1493,Cancer Specialists,(305) 585-1111
Jackson South Community Hospital,9333 Sw 152nd St,Miami,USA,250,Covid,(305) 251-2500
Kendall Regional Medical Center,11750 Bird Rd,Miami,USA,417,Cancer Specialists,(305) 223-3000
Ripon Med Ctr,933 Newbury St,Ripon,USA,25,Pneumonia,(920) 748-3101
Barnes-Jewish West County Hospital,12634 Olive Boulevard,Creve Coeur,USA,113,General Medical,(314) 996-8000
St. Luke'S Rehabilitation Hospital,14709 Olive Boulevard,Chesterfield,USA,35,General Medical,(314) 317-5700
Ssm St. Clare Health Center,1015 Bowles Ave,Fenton,USA,180,General Medical,(636) 496-2000
Western Maryland Regional Medical Center,12500 Willowbrook Road,Cumberland,USA,371,Lung Cancer,(240) 964-2196
Saint Francis Medical Center,530 Ne Glen Oak Ave,Peoria,USA,631,"Level I, Pediatric I",(309) 655-2000
Ranken Jordan A Pediatric Rehabilitation Center,11365 Dorsett Road,Maryland Heights,USA,34,General Medical,(314) 872-6400
Proctor Hospital,5409 N Knoxville Ave,Peoria,USA,172,General Medical,(309) 691-1000
Timberlands Hospital Crockett,1100 East Loop 304,Crockett,USA,25,General Medical,(936) 546-3862
Ssm Health St. Francis Hospital,2016 South Main Street,Maryville,USA,81,General Medical,(660) 562-2600
Lourdes Counseling Center,1175 Carondelet Drive,Richland,USA,32,General Medical,(509) 943-9104
Snoqualmie Valley Hospital,9575 Ethan Wade Way Se,Snoqualmie,USA,28,General Medical,(425) 831-2300
Kadlec Medical Center,888 Swift Blvd,Richland,USA,270,Lung Cancer,(509) 946-4611
Central Washington Hospital,1201 South Miller Street,Wenatchee,USA,174,Level Iii/Pediatric,(509) 662-1511
Three Rivers Hospital,507 Hospital Way,Brewster,USA,44,Breast Cancer,(509) 689-2517
Morton General Hospital,521 Adams St,Morton,USA,25,Level V,(360) 496-5112
Highland Community Hospital,801 Goodyear Boulevard,Picayune,USA,95,Pneumonia,(601) 798-4711
"Thc Chicago, Inc. - Dba Kindred Hospital - Central",4058 West Melrose Street,Chicago,USA,54,General Medical,(773) 481-5708
Cjw Medical Center Chippenham Campus,7101 Jahnke Road,Richmond,USA,466,Children Specialists,(804) 320-3910
Banner-University Medical Center South Campus,2800 East Ajo Way,Tucson,USA,245,Breast Cancer,(520) 294-4471
Tulsa-Amg Specialty Hospital,"2408 E. 81st Street,Ste. 2800",Tulsa,USA,40,General Medical,(918) 710-3620
Centura Health-Porter Adventist Hospital,2525 S Downing St,Denver,USA,368,Lung Cancer,(303) 778-1955
Cortland Regional Medical Center,134 Homer Ave,Cortland,USA,162,General Medical,(607) 756-7525
Sentara Halifax Regional Hospital,2204 Wilborn Avenue,South Boston,USA,192,General Medical,(434) 517-3100
Bon Secours Depaul Medical Center,150 Kingsley Lane,Norfolk,USA,180,General Medical,(757) 889-5000
Sentara Leigh Hospital,830 Kempsville Road,Norfolk,USA,250,General Medical,(757) 261-6000
Bon Secours Richmond Community Hospital,1500 North 28th Street,Richmond,USA,104,General Medical,(804) 225-1700
Carondelet St Joseph'S Hospital,350 North Wilmot Road,Tucson,USA,486,General Medical,(520) 873-3000
Beth Israel Deaconess Hospital Plymouth,275 Sandwich Street,Plymouth,USA,155,General Medical,(508) 771-1800
Clinton Hospital,201 Highland Street,Clinton,USA,41,General Medical,NOT AVAILABLE
Norman Regional Health System -Norman Campus,901 North Porter Street,Norman,USA,388,Lung Cancer,(405) 307-1000
Jefferson Medical Center,300 South Preston Street,Ranson,USA,25,Pneumonia,(304) 728-1600
Montgomery General Hospital,"401 Sixth Avenue, Fayette County",Montgomery,USA,69,General Medical,(304) 442-5150
Beth Israel Deaconess Hospital - Needham,148 Chestnut Street,Needham,USA,58,General Medical,(781) 453-3000
Holmes County Hospital & Clinics,239 Bowling Green Road,Lexington,USA,25,Pneumonia,(662) 834-1321
Jefferson County Hospital,870 South Main Street,Fayette,USA,30,Non-Designated,(601) 786-3401
Jasper General Hospital,15-A South 6th Street,Bay Springs,USA,16,General Medical,(601) 764-2101
South Central Regional Medical Center,1220 Jefferson Street,Laurel,USA,285,Covid,(601) 426-4000
Greene County Hospital,1017 Jackson Street,Leakesville,USA,7,Pneumonia,(601) 394-4135
Merit Health Central,1850 Chadwick Drive,Jackson,USA,319,Covid,(601) 376-1000
Ms Methodist Rehabilitation Center,1350 East Woodrow Wilson Drive,Jackson,USA,124,General Medical,(601) 981-2611
Baptist Medical Center Leake,310 Ellis Street,Carthage,USA,25,Pneumonia,(601) 267-1100
Charlie Norwood Va Medical Center,950 15th Street Downtown,Augusta,USA,1001,General Medical,(706) 733-0188
South Ms State Hospital,823 Highway 589,Purvis,USA,50,General Medical,(601) 794-0100
North Sunflower Medical Center,840 North Oak Avenue,Ruleville,USA,35,Pneumonia,(662) 756-2711
Tallahatchie General Hospital,201 South Market Street,Charleston,USA,18,Pneumonia,(662) 647-5535
Horsham Clinic,722 East Butler Pike,Ambler,USA,172,General Medical,(215) 643-7800
Montgomery County Emergency Service,50 Beech Drive,Norristown,USA,73,General Medical,(610) 279-6100
Brooke Glen Behavioral Hospital,7170 Lafayette Avenue,Fort Washington,USA,146,General Medical,(215) 641-5300
Physicians Care Surgical Hospital,454 Enterprise Drive,Royersford,USA,12,General Medical,(610) 495-3330
Main Line Bryn Mawr Hospital,130 South Bryn Mawr Avenue,Bryn Mawr,USA,319,General Medical,(484) 337-3570
University Of Wi Hospitals & Clinics Authority,600 Highland Avenue,Madison,USA,648,I,(608) 263-8991
Mayo Clinic Health System Eau Claire Hospital,1221 Whipple St,Eau Claire,USA,304,Children Specialists,(715) 838-3311
The Monroe Clinic,2005 5th Street,Monroe,USA,95,Unclassified,(608) 324-1000
The Betty Ford Center,39000 Bob Hope Drive,Rancho Mirage,USA,100,General Medical,NOT AVAILABLE
Kaiser Fnd Hosp - Riverside,10800 Magnolia Avenue,Riverside,USA,226,General Medical,NOT AVAILABLE
William W Backus Hospital,326 Washington St,Norwich,USA,213,Covid,(860) 889-8331
Abrazo West Campus,13677 W Mcdowell Road,Goodyear,USA,188,Cancer Specialists,(623) 882-1500
Avera Gettysburg Hospital,606 East Garfield Avenue,Gettysburg,USA,10,Trh,(605) 765-2480
Heart Of The Rockies Regional Medical Center,1000 Rush Drive,Salida,USA,25,Breast Cancer,(719) 530-2200
St. Vincent'S East,50 Medical Park East Drive,Birmingham,USA,362,Covid,(205) 838-3000
Marshall Medical Center South,"2505 U.S. Highway 431, South",Boaz,USA,150,Covid,(256) 894-6712
Jackson Medical Center,220 Hospital Drive,Jackson,USA,35,Covid,(251) 246-9021
Mobile Infirmary Medical Center,5 Mobile Infirmary Center,Mobile,USA,677,Covid,(251) 435-2400
Cumberland Surgical Hospital,5330 North Loop 1604 West,San Antonio,USA,25,General Medical,(210) 877-8000
Scott & White Pavilion,1815 South 31st Street,Temple,USA,1001,General Medical,(254) 724-4406
Kindred Hospital Of Tucson,355 North Wilmot,Tucson,USA,51,General Medical,(520) 584-4500
"Medical West, An Affiliate Of Uab Health System",995 Ninth Avenue Southwest,Bessemer,USA,310,Covid,(205) 481-7118
"Summit Medical Center, Llc",1800 S Renaissance Boulevard,Edmond,USA,9,General Medical,(405) 359-2400
Community Memorial Hospital,400 Caldwell,Staunton,USA,25,General Medical,(618) 635-2200
Alton Memorial Hospital,One Memorial Drive,Alton,USA,253,General Medical,(618) 463-7300
Saint Anthony'S Health Center,St Anthony'S Way,Alton,USA,199,General Medical,(618) 465-2571
Huggins Hospital,240 South Main Street,Wolfeboro,USA,25,General Medical,(603) 569-7500
Speare Memorial Hospital,16 Hospital Road,Plymouth,USA,25,General Medical,(603) 536-1120
Crittenden County Hospital,520 West Gum Street,Marion,USA,48,General Medical,(270) 965-5281
Labette Health,1902 South Us Hwy 59,Parsons,USA,55,Lung Cancer,(620) 421-4881
The Physicians Centre Hospital,3131 University Drive East,Bryan,USA,16,General Medical,(979) 731-3930
Thedacare Medical Center Shawano Inc,100 Country Road B,Shawano,USA,25,General Medical,(715) 526-2111
Roseland Community Hospital,45 W 111th Street,Chicago,USA,115,General Medical,(773) 995-3000
Va Eastern Colorado Healthcare System,1055 Clemont Street,Denver,USA,1001,General Medical,(303) 399-8020
Atlanta Va Health Medical Center,1670 Clairmont Road,Decatur,USA,1001,General Medical,(404) 321-6111
Cuyuna Regional Medical Center,320 East Main Street,Crosby,USA,50,General Medical,(218) 546-7000
Memorial Hermann Orthopedic And Spine Hospital,5410 West Loop South,Bellaire,USA,64,General Medical,(713) 314-4444
Christus St Michael Hospital - Atlanta,1007 South William Street,Atlanta,USA,43,Breast Cancer,(903) 799-3000
Mcleod Loris,3655 Mitchell St,Loris,USA,105,General Medical,(843) 716-7000
Fairlawn Rehabilitation Hospital,189 May Street,Worcester,USA,110,General Medical,(508) 791-6351
New England Sinai Hospital,"150 York Street, Po Box Cs9105",Stoughton,USA,157,General Medical,(781) 344-0600
Marlborough Hospital,157 Union Street,Marlborough,USA,79,General Medical,(508) 485-1121
Select Specialty Hospital,333 Laidley Street,Charleston,USA,32,General Medical,(304) 388-6670
The Unity Hospital Of Rochester-St Marys Campus,89 Genesee Street,Rochester,USA,40,General Medical,(585) 723-7000
Silver Cross Hospital  And Medical Centers,1900 Silver Cross Blvd,New Lenox,USA,289,Covid,(815) 740-1100
Mount Sinai St. Luke'S,1111 Amsterdam Avenue,New York,USA,495,Children Specialists,(212) 523-4295
Select Specialty Hospital - Knoxville (Ut Medical Center),1924 Alcoa Highway,Knoxville,USA,1001,General Medical,(865) 541-2615
Marion Il Va Medical Center,2401 West Main,Marion,USA,225,General Medical,(618) 997-5311
Deborah Heart And Lung Center,200 Trenton Road,Browns Mills,USA,89,General Medical,(609) 893-6611
Cgh Medical Center,100 East Lefevre Road,Sterling,USA,99,General Medical,(815) 625-0400
Saint Thomas Rutherford Hospital,1700 Medical Center Parkway,Murfreesboro,USA,286,General Medical,(615) 849-4100
Southern Tennessee Regional Health System Winchester,185 Hospital Road,Winchester,USA,153,General Medical,(931) 967-8200
Fort Sanders Regional Medical Center,1901 Clinch Avenue,Knoxville,USA,402,General Medical,(865) 541-1101
Straith Hospital For Special Surgery,23901 Lahser,Southfield,USA,34,General Medical,NOT AVAILABLE
Dmc Surgery Hospital,30671 Stephenson Highway,Madison Heights,USA,36,General Medical,NOT AVAILABLE
Pottstown Memorial Medical Center,1600 East High Street,Pottstown,USA,224,General Medical,(610) 327-7004
Lansdale Hospital,100 Medical Campus Drive,Lansdale,USA,135,General Medical,(215) 368-2100
Geisinger Healthsouth Rehabilitation Hospital,2 Rehab Lane,Danville,USA,42,General Medical,(570) 271-6110
Geisinger Medical Center,100 North Academy Avenue,Danville,USA,404,Cancer Specialists,(570) 271-6211
Clarks Summit State Hospital,1451 Hillside Drive,Clarks Summit,USA,232,General Medical,(570) 586-2011
Regional Hospital Of Scranton,746 Jefferson Avenue,Scranton,USA,198,General Medical,(570) 348-7100
Holzer Medical Center,100 Jackson Pike,Gallipolis,USA,287,General Medical,(740) 446-5000
Covington County Hospital,701 South Holly Street,Collins,USA,35,Pneumonia,(601) 765-6711
Smyth County Community Hospital,565 Radio Hill Road,Marion,USA,154,General Medical,(276) 782-1234
Wythe County Community Hospital,600 West Ridge Road,Wytheville,USA,108,General Medical,(276) 228-0200
Johnston Memorial Hospital,351 Court Street Ne,Abingdon,USA,135,General Medical,(540) 676-7000
Vernon M. Geddy Jr. Outpatient Center,6601 Mooretown Road,Williamsburg,USA,1001,General Medical,(757) 345-4310
Bon Secours Memorial Regional Medical Center,8260 Atlee Road,Mechanicsville,USA,225,General Medical,(804) 764-6000
Guthrie County Hospital,710 North 12th Street,Guthrie Center,USA,25,Breast Cancer,(641) 332-2201
Sentara Northern Virginia Medical Center,2300 Opitz Boulevard,Woodbridge,USA,183,General Medical,(703) 670-1310
Children'S Hospital Of The Kings Daughters,601 Childrens Lane,Norfolk,USA,206,General Medical,(757) 668-7000
Lake Taylor Transitional Care Hospital,1309 Kempsville Road,Norfolk,USA,104,General Medical,(757) 461-5000
Sentara Norfolk General Hospital,600 Gresham Drive,Norfolk,USA,543,I,(757) 388-3000
Greene County Hospital,509 Wilson Avenue,Eutaw,USA,20,General Medical,(205) 931-6814
Muscogee (Creek) Nation Physical Rehabilitation Center,900 East Airport Road,Okmulgee,USA,26,General Medical,(918) 756-9211
St. Vincent'S Birmingham,810 St. Vincent'S Drive,Birmingham,USA,409,Covid,(205) 939-7000
Specialty Hospital Jacksonville,4901 Richard St,Jacksonville,USA,107,General Medical,(904) 737-3120
St Vincent'S Medical Center Southside,4201 Belfort Rd,Jacksonville,USA,309,General Medical,(904) 296-3700
Lutheran Medical Center,8300 W 38th Ave,Wheat Ridge,USA,494,Lung Cancer,(303) 425-4500
Marshall  Medical Center (1-Rh),1100 Marshall Way,Placerville,USA,113,Covid,NOT AVAILABLE
John Muir Medical Center-Walnut Creek Campus,1601 Ygnacio Valley Road,Walnut Creek,USA,554,Children Specialists,NOT AVAILABLE
Hahnemann University Hospital,230 North Broad Street,Philadelphia,USA,496,Cancer Specialists,(215) 762-7000
Perkins County Health Services,900 Lincoln Ave,Grant,USA,20,Breast Cancer,(308) 352-7200
Lincoln Community Hospital,111 6th St,Hugo,USA,50,Breast Cancer,(719) 743-2421
Dale Medical Center,126 Hospital Avenue,Ozark,USA,89,Covid,(334) 774-2601
East Alabama Medical Center,2000 Pepperell Parkway,Opelika,USA,314,Covid,(334) 749-3411
Community Hospital,805 Friendship Road,Tallassee,USA,69,Covid,(334) 283-6541
Rideout Memorial Hospital,726 Fourth St,Marysville,USA,173,Covid,NOT AVAILABLE
Decatur Morgan Hospital - Decatur Campus,"1201 Seventh Street, Southeast",Decatur,USA,230,Covid,(256) 341-2000
Marian Medical Center,1400 East Church Street,Santa Maria,USA,321,Covid,NOT AVAILABLE
Reagan Memorial Hospital,805 North Main Avenue,Big Lake,USA,14,General Medical,NOT AVAILABLE
Brunswick Community Hospital,240 Hospital Drive Ne,Bolivia,USA,60,General Medical,(910) 755-8121
J. Arthur Dosher Memorial Hospital,924 Howe St,Southport,USA,100,General Medical,(910) 457-3800
Caldwell Memorial Hospital,321 Mulberry Street Sw,Lenoir,USA,110,General Medical,(828) 757-5100
Carepartners Rehabilitation Hospital,68 Sweeten Creek Road,Asheville,USA,80,General Medical,(828) 274-2400
The Nebraska Medical Center,987400 Nebraska Medical Center,Omaha,USA,738,Cancer Specialists,(402) 552-2040
Elmhurst Hospital Center,79-01 Brdway,Elmhurst,USA,551,I,(718) 334-4000
Rumford Hospital,420 Franklin Street,Rumford,USA,25,General Medical,(207) 369-1000
Richmond University Medical Center - Main Campus,355 Bard Ave,Staten Island,USA,448,"I, Ii Pediatric",(718) 818-2413
Wadley Regional Medical Center At Hope,2001 South Main Street,Hope,USA,79,General Medical,(870) 722-3800
Mercy Hospital Paris,500 East Academy,Paris,USA,16,Breast Cancer,(479) 963-6101
Catawba Valley Medical Center,810 Fairgrove Church Road,Hickory,USA,258,General Medical,(828) 326-3800
Southeastern Regional Medical Center,300 West 27th St,Lumberton,USA,452,General Medical,(910) 671-5000
"Rutherford Hospital, Inc.",288 South Ridgecrest Ave.,Rutherfordton,USA,143,General Medical,(828) 286-5000
Auburn Community Hospital,17 Lansing St,Auburn,USA,99,General Medical,(315) 255-7209
Memorial Hermann Hospital,6411 Fannin Street,Houston,USA,1082,Cancer Specialists,(713) 704-4000
Boone Hospital Center,1600 East Broadway,Columbia,USA,392,General Medical,(573) 815-8000
"Landmark Hospital Of Columbia, Llc",604 Old Hwy 63 N,Columbia,USA,42,General Medical,(573) 499-6600
F. W. Huston Medical Center,408 Delaware St,Winchester,USA,74,General Medical,(913) 774-4340
Mayo Clinic Health Sys St Jame,1101 Moulton & Parsons Dr,St James,USA,25,Pneumonia,(507) 375-3260
Mayo Clinic Health System In Red Wing,701 Hewitt Boulevard,Red Wing,USA,50,Covid,(651) 267-5050
Mayo Clinic Health System S F,625 Jackson St N,Springfield,USA,24,Pneumonia,(507) 723-6200
Bradford Regional Medical Center,116 Interstate Parkway,Bradford,USA,107,General Medical,(814) 362-8298
Mille Lacs Health System,200 North Elm Street,Onamia,USA,28,Pneumonia,(320) 532-2585
Prairie Ridge Hosp Hlth Serv,1411 State Highway 79 E,Elbow Lake,USA,10,Pneumonia,(218) 685-4461
Sanford Canby Medical Center,112 St Olaf Avenue South,Canby,USA,25,Pneumonia,(507) 223-7280
Sanford Worthington Medical Ce,1018 Sixth Avenue,Worthington,USA,48,Covid,(507) 372-3380
Swift County Benson Hospital,1815 Wisconsin Avenue,Benson,USA,31,General Medical,(320) 843-4232
St. Mary'S Health Center,100 St. Mary'S Medical Plaza,Jefferson City,USA,134,General Medical,(573) 761-7000
Select Specialty Hospital - Winston Salem,"3333 Silas Creek Parkway,6th Floor",Winston Salem,USA,42,General Medical,(336) 760-4668
Select Specialty Hospital - Greensboro,1200 North Elm Street,Greensboro,USA,30,General Medical,(336) 832-5700
Carolinas Healthcare System Stanly,301 Yadkin Street,Albemarle,USA,109,General Medical,(704) 984-4347
Va Ann Arbor Healthcare System,2215 Fuller Rd,Ann Arbor,USA,1001,General Medical,(800) 361-8387
St Joseph County Va Health Care Center,1540 Trinity Place,Mishawaka,USA,1001,General Medical,(574) 272-9000
Eugene J. Towbin Veteran'S Healthcare Center,2200 Fort Roots Drive North,Little Rock,USA,1001,General Medical,(501) 257-1000
Southeast Louisiana Veterans Health Care System,2400 Canal Street,New Orleans,USA,1001,General Medical,(800) 935-8387
Children'S Hospital Of Richmond At Vcu (Brook Road),2924 Brook Road,Richmond,USA,36,General Medical,(804) 321-7470
Vcu Health System,1200 E Broad S,Richmond,USA,779,I,(804) 828-3815
Russell County Medical Center,58 Carroll Street,Lebanon,USA,78,General Medical,(276) 883-8000
St Lukes Hospital Monroe Campus,100 St Lukes Lane,Stroudsburg,USA,1001,General Medical,(272) 212-1000
Pam Specialty Hospital Of Tulsa,3219 South 79th East Avenue,Tulsa,USA,60,General Medical,(918) 663-8183
"Cobalt Rehabilitation Hospital Iv, Llc",13060 West Bell Road,Surprise,USA,1001,General Medical,(623) 499-9100
Copper Springs Hospital Inc,10550 West Mcdowell Rd,Avondale,USA,48,General Medical,(480) 565-3035
Centura Health-Penrose St Francis Health Services,2222 N Nevada Ave,Colorado Springs,USA,327,Covid,(719) 776-5000
Northwest Med Center,6200 N Lacholla Blvd,Tucson,USA,295,General Medical,(520) 469-8100
Children'S Hospital Colorado,13123 East 16th Avenue,Aurora,USA,444,Rptc,(720) 777-1234
Promise Hospital Of Overland Park,6509 W 103rd St,Overland Park,USA,56,General Medical,(913) 649-3701
Casey County Hospital,187 Wolford Avenue,Liberty,USA,15,General Medical,(606) 787-6275
The Ridge Behavioral Health System,3050 Rio Dosa Drive,Lexington,USA,110,General Medical,(859) 269-2325
Highlands Regional Medical Center,5000 Kentucky Route 321,Prestonsburg,USA,174,General Medical,(606) 886-8511
Merit Health Natchez,54 Seargent Prentiss Drive,Natchez,USA,179,Pneumonia,(601) 443-2100
Magnolia Regional Health Center,611 Alcorn Drive,Corinth,USA,200,Covid,(662) 293-1000
William Jennings Bryan Dorn Va Medical Center,6439 Garners Ferry Rd,Columbia,USA,1001,General Medical,(803) 776-4000
Singing River Hospital,2809 Denny Avenue,Pascagoula,USA,435,Covid,(228) 809-5000
Hancock Medical Center,149 Drinkwater Boulevard,Bay St. Louis,USA,102,Pneumonia,(228) 467-8600
Dekalb Regional Medical Center,200 Medical Center Drive,Fort Payne,USA,134,Covid,(256) 845-3150
Ronald Reagan Ucla Medical Center,757 Westwood Plaza,Los Angeles,USA,466,"I, I Pediatric",(310) 825-9111
Riverside County Regional Medical Center,26520 Cactus Avenue,Moreno Valley,USA,362,"Ii, Ii Pediatric",NOT AVAILABLE
Gunnison Valley Hospital,711 N Taylor Street,Gunnison,USA,24,Breast Cancer,(970) 641-1456
Shasta Regional Medical Center,1100 Butte Street,Redding,USA,246,General Medical,NOT AVAILABLE
Northern Inyo Hospital,150 Pioneer Lane,Bishop,USA,25,General Medical,NOT AVAILABLE
Florida Hospital Fish Memorial,1055 Saxon Blvd,Orange City,USA,179,General Medical,(386) 851-5000
Regional General Hospital Williston,125 Sw 7th St,Williston,USA,40,General Medical,(352) 528-2801
Bayhealth Milford Memorial Hospital,21 W Clark Ave,Milford,USA,127,3,(302) 422-3311
Republic County Hospital,2420 G Street,Belleville,USA,63,Breast Cancer,(785) 527-2254
Christiana Care-Wilmington Hospital,501 W 14th St,Wilmington,USA,241,3,(302) 320-2229
Evanston Regional Hospital,190 Arrowhead Drive,Evanston,USA,42,Cth,(307) 789-3636
Teton County Hospital District,625 East Broadway,Jackson,USA,48,Ath,(307) 733-3636
West Park Hospital District,707 Sheridan Avenue,Cody,USA,25,Ath,(307) 527-7501
New Ulm Medical Center,1324 Fifth Street North,New Ulm,USA,62,Pneumonia,(507) 217-5000
Dundy County Hospital,1313 North Cheyenne St,Benkelman,USA,14,Breast Cancer,(308) 423-2204
Oss Orthopaedic Specialty Hospital,1861 Powder Mill Road,York,USA,30,General Medical,(717) 718-2000
Midwest Surgical Hospital Llc,7915 Farnam Drive,Omaha,USA,19,General Medical,(402) 399-1900
Aspen Valley Hospital,0401 Castle Creek Road,Aspen,USA,25,Lung Cancer,(970) 544-1261
Hosp Metropolitano Dr Susoni,55 Nicomedes Rivera Street,Arecibo Pueblo,PRI,138,General Medical,(787) 650-1030
Hosp Dr. Cayetano Coll Y Toste,129 San Luis Avenue,Arecibo Pueblo,PRI,188,General Medical,(787) 650-7272
Doctors Center Hospital- Manati,Km 47-7,Manati,PRI,150,General Medical,(787) 621-3322
Csf - Utuado,C/Isaac Gonzalez Martinez,Arenas,PRI,1001,General Medical,(787) 894-2875
Healthsouth Rehabilitation Hospital Of Virginia,5700 Fitzhugh Avenue,Richmond,USA,40,General Medical,(804) 288-5700
Fairfield Memorial Hospital,102 Us Hwy 321 Byp N,Winnsboro,USA,25,General Medical,(803) 635-0233
W J Barge Memorial Hospital,1700 Wade Hampton Blvd,Greenville,USA,79,General Medical,(864) 770-1352
St. Joseph Hospital,220 Overton Ave.,Memphis,USA,511,General Medical,(901) 577-2700
Southwest Healthcare Services,14 6th Ave Sw,Bowman,USA,23,General Medical,(701) 523-5265
North Cypress Medical Center,21214 Northwest Freeway,Cypress,USA,139,General Medical,(832) 912-3500
Mercy Hospital Jefferson,1400 Highway 61 South,Crystal City,USA,251,Covid,(636) 933-1000
Fairview Northland Reg Hosp,911 Northland Drive,Princeton,USA,54,Pneumonia,(763) 389-6481
St Cloud Hospital,1406 Sixth Avenue North,St Cloud,USA,485,Children Specialists,(320) 255-5661
Mcleod Seacoast,4000 Hwy 9 E,Little River,USA,50,General Medical,(843) 390-8100
Lakeview Memorial Hospital,927 West Churchill Street,Stillwater,USA,97,Covid,(651) 430-5330
Leesburg Regional Medical Center,600 E Dixie Ave,Leesburg,USA,322,General Medical,(352) 323-5000
Bluffton Hospital,"139 Garau Street, Po Box 48",Bluffton,USA,39,General Medical,(419) 358-9010
